ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000519.SZ,19951012,3.202,3.252,3.177,3.1936,3.1686,0.02499999999999991,0.789,2121.0,814.825
000519.SZ,19951011,3.0936,3.1686,3.0936,3.1686,3.1603,0.008300000000000196,0.2626,1126.0,421.89
000519.SZ,19951010,3.1936,3.1936,3.1519,3.1603,3.177,-0.01670000000000016,-0.5257,888.0,336.721
000519.SZ,19951009,3.2103,3.2103,3.1686,3.177,3.2353,-0.05830000000000002,-1.802,662.0,252.783
000519.SZ,19951006,3.2687,3.2937,3.227,3.2353,3.277,-0.04170000000000007,-1.2725,712.0,277.337
000519.SZ,19951005,3.2603,3.2937,3.252,3.277,3.2687,0.008300000000000196,0.2539,571.0,224.191
000519.SZ,19951004,3.2937,3.2937,3.2603,3.2687,3.252,0.01670000000000016,0.5135,601.0,235.609
000519.SZ,19950929,3.1686,3.252,3.1686,3.252,3.2103,0.041699999999999626,1.2989,919.0,355.05
000519.SZ,19950928,3.1853,3.2186,3.1686,3.2103,3.2103,0.0,0.0,898.0,344.596
000519.SZ,19950927,3.1686,3.2937,3.1686,3.2103,3.2103,0.0,0.0,2002.0,779.405
000519.SZ,19950926,3.2353,3.2353,3.177,3.2103,3.1686,0.04170000000000007,1.316,323.0,124.17
000519.SZ,19950925,3.1519,3.2103,3.1519,3.1686,3.227,-0.058399999999999785,-1.8097,798.0,304.563
000519.SZ,19950922,3.227,3.2353,3.1603,3.227,3.2103,0.016699999999999715,0.5202,1221.0,467.555
000519.SZ,19950921,3.227,3.227,3.1936,3.2103,3.202,0.008300000000000196,0.2592,576.0,221.513
000519.SZ,19950920,3.2353,3.2353,3.177,3.202,3.252,-0.04999999999999982,-1.5375,982.0,375.778
000519.SZ,19950919,3.3354,3.4271,3.2437,3.252,3.3687,-0.11670000000000025,-3.4642,1676.0,666.969
000519.SZ,19950918,3.3354,3.4438,3.0936,3.3687,3.3604,0.008300000000000196,0.247,1347.0,537.725
000519.SZ,19950915,3.4938,3.4938,3.3437,3.3604,3.3521,0.008299999999999752,0.2476,1570.0,639.664
000519.SZ,19950914,3.3354,3.3604,3.3187,3.3521,3.3354,0.01670000000000016,0.5007,1692.0,678.459
000519.SZ,19950913,3.3604,3.3604,3.302,3.3354,3.3354,0.0,0.0,1108.0,440.882
000519.SZ,19950912,3.5022,3.5022,3.3354,3.3354,3.3354,0.0,0.0,1356.0,548.833
000519.SZ,19950911,3.3187,3.3521,3.3187,3.3354,3.3354,0.0,0.0,663.0,265.166
000519.SZ,19950908,3.3354,3.3771,3.2937,3.3354,3.2937,0.04170000000000007,1.2661,1610.0,642.158
000519.SZ,19950907,3.3187,3.3354,3.2937,3.2937,3.3187,-0.025000000000000355,-0.7533,1384.0,549.603
